Name,Institution_Type,Address,District_City,State,Pincode,AICTE_Permanent_ID,Women_Only,Minority_Institution,Courses_Offered,Website,Source
NEELAM COLLEGE OF ENGINEERING & TECHNOLOGY,Private-Self Financing,"NEELAM COLLEGE OF ENGINEERING & TECHNOLOG,AGRA ,VILL. KORAI,TEHSI L KIROALI,AGRA-JAIPUR NH-11 ,AGRA (U.P)",Agra,Uttar Pradesh,,1-44643302425,N,N,,,"AICTE (via anburocky3/indian-colleges-data, snapshot 2025-10-30)"
PROCESS AND PRODUCT DEVELOPMENT CENTRE,Government,"NEAR BUS CHARGING STATION FOUNDRY NAGAR RAMBAGH ,AGRA",Agra,Uttar Pradesh,,1-44643789545,N,N,,,"AICTE (via anburocky3/indian-colleges-data, snapshot 2025-10-30)"
"RAJA BALWANT SINGH POLYTECHNIC, BICHPURI, AGRA",Govt aided,"BICHPURI, AGRA",Agra,Uttar Pradesh,,1-44641122065,N,N,,,"AICTE (via anburocky3/indian-colleges-data, snapshot 2025-10-30)"
ST JOHN'S COLLEGE,Private-Self Financing,M G ROAD,Agra,Uttar Pradesh,,1-44644541719,N,N,,,"AICTE (via anburocky3/indian-colleges-data, snapshot 2025-10-30)"
UTTAM INSTITUTE OF MANAGEMENT STUDIES,Private-Self Financing,"RUNAKTA KIRAWALI ROAD NEAR RAILWAY CROSSING,AGRA",Agra,Uttar Pradesh,,1-44643069443,N,N,,,"AICTE (via anburocky3/indian-colleges-data, snapshot 2025-10-30)"
A.D.R.S. INSTITUTE OF TECHNOLOGY & MANAGEMENT,Private-Self Financing,"G.T. ROAD, TEH.-GABHANA, ALIGARH",Aligarh,Uttar Pradesh,,1-44641053900,N,N,,,"AICTE (via anburocky3/indian-colleges-data, snapshot 2025-10-30)"
ACN COLLEGE OF ENGG. & MANAGMENT STUDIES,Private-Self Financing,CHHERUT KASHIMPUR ROAD,Aligarh,Uttar Pradesh,,1-44642672810,N,Y,,,"AICTE (via anburocky3/indian-colleges-data, snapshot 2025-10-30)"
ACN COLLEGE OF POLYTECHNIC,Private-Self Financing,"ACN CITY, CHHERAT,  KASIMPUR POWER HOUSE ROAD, ALIGARH",Aligarh,Uttar Pradesh,,1-44641142629,N,Y,,,"AICTE (via anburocky3/indian-colleges-data, snapshot 2025-10-30)"
AL BARKAAT COLLEGE OF GRADUATE STUDIES,Private-Self Financing,"POST CDF, NEAR JAMALPUR FLYOVER, ANOOPSHAHR ROAD",Aligarh,Uttar Pradesh,,1-44644751611,N,N,,,"AICTE (via anburocky3/indian-colleges-data, snapshot 2025-10-30)"
AL-BARKAAT INSTITUTE OF MANAGEMENT STUDIES,Private-Self Financing,"MANJOORGARHI, ANOOPSHAHR ROAD, ALIGARH",Aligarh,Uttar Pradesh,,1-44643504516,N,Y,,,"AICTE (via anburocky3/indian-colleges-data, snapshot 2025-10-30)"
ALIGARH COLLEGE OF ENGINEERING AND TECHNOLOGY,Private-Self Financing,"3 KM FROM SASNI GATE, AT ALIGARH-MATHURA ROAD, ALIGARH.",Aligarh,Uttar Pradesh,,1-44642132673,N,N,,,"AICTE (via anburocky3/indian-colleges-data, snapshot 2025-10-30)"
GOVERNMENT GIRLS POLYTECHNIC ATARAULI ALIGARH,Government,"ATARAULI, ALIGARH, UTTARPRADESH",Aligarh,Uttar Pradesh,,1-44754247823,Y,N,,,"AICTE (via anburocky3/indian-colleges-data, snapshot 2025-10-30)"
GYAN MAHAVIDYALAYA,Private-Self Financing,AGRA ROAD ALIGARH,Aligarh,Uttar Pradesh,,1-44771145103,N,N,,,"AICTE (via anburocky3/indian-colleges-data, snapshot 2025-10-30)"
